ever_grasped,n_grasp_events,collided,collided_before_grasp,min_xy_err,min_tilt_deg,max_depth,success,steps
False,0,False,False,0.32755788443157546,0.00247572953284947,0.0,False,400
False,0,False,False,0.2299399889329855,0.0038866810051292203,0.0,False,400
False,0,False,False,0.36842839177592496,0.005232079483049499,0.0,False,400
False,0,False,False,0.13096811012904144,0.000985968843119813,0.0,False,400
False,0,False,False,0.11692958063943691,0.0023056893550253863,0.0,False,400
False,0,False,False,0.07840451335848099,0.004215447095983193,0.0,False,400
False,0,False,False,0.15054619038895636,0.002059531217156512,0.0,False,400
False,0,False,False,0.1623892799663314,0.0075897087006716124,0.0,False,400
False,0,False,False,0.1737584831599468,0.011289899064733771,0.0,False,400
False,0,False,False,0.16138378284148686,0.0024417811353305173,0.0,False,400
False,0,False,False,0.20986614076904764,0.0019370966946504267,0.0,False,400
False,0,False,False,0.2098412729867112,0.006590152077777463,0.0,False,400
False,0,False,False,0.10604227554101539,0.003685215121008884,0.0,False,400
False,0,False,False,0.3267733110439335,0.007598199762368214,0.0,False,400
False,0,False,False,0.29188208757674894,0.008008512176195252,0.0,False,400
False,0,False,False,0.17557185982722176,0.009001576798301191,0.0,False,400
False,0,False,False,0.19816683364539336,0.0008568714933227746,0.0,False,400
False,0,False,False,0.4115717305503536,0.005606062077299498,0.0,False,400
True,4,False,False,0.006482716202551199,0.0028849011509888803,0.0,False,400
False,0,False,False,0.29269808491684857,0.0075575587976543426,0.0,False,400
False,0,False,False,0.22599391273362035,0.0030917105394664174,0.0,False,400
False,0,False,False,0.21185416776343016,0.0033899126441545727,0.0,False,400
False,0,False,False,0.24899261165002692,0.006516105738280264,0.0,False,400
False,0,False,False,0.24381005211843446,0.008588405075264476,0.0,False,400
False,0,False,False,0.19165471878215523,0.006420923897188434,0.0,False,400
False,0,False,False,0.20457162986543662,0.0034892665611307564,0.0,False,400
False,0,False,False,0.11837520681218863,0.00441834329229603,0.0,False,400
False,0,False,False,0.2587733439552007,0.0019748845629128527,0.0,False,400
False,0,False,False,0.10585337487177181,0.008356510667896002,0.0,False,400
False,0,False,False,0.23237074565475244,0.0009848407611456075,0.0,False,400
False,0,False,False,0.11636166249425614,0.008626516973316813,0.0,False,400
False,0,False,False,0.1540372077474256,0.0014619217776363303,0.0,False,400
False,0,False,False,0.2647458268857915,0.00899590270542835,0.0,False,400
False,0,False,False,0.16760655364977797,0.001499290943462929,0.0,False,400
False,0,False,False,0.10450369462080629,0.0035446056840378903,0.0,False,400
False,0,False,False,0.2753250777399344,0.0048124290392328435,0.0,False,400
False,0,False,False,0.3164568582620387,0.002837470826274289,0.0,False,400
False,0,False,False,0.39091078655398304,0.005313541828326953,0.0,False,400
False,0,False,False,0.15728203248756775,0.003756775571151113,0.0,False,400
False,0,False,False,0.38888275656200466,0.007028049294928901,0.0,False,400
False,0,False,False,0.10614902042101473,0.007546861631173483,0.0,False,400
False,0,False,False,0.24999647571044972,0.004276541542058487,0.0,False,400
False,0,False,False,0.1660829042918438,0.014080534405461191,0.0,False,400
False,0,False,False,0.053327758185765,0.0019265269428496046,0.0,False,400
False,0,False,False,0.21721430790025475,0.0022107701579206235,0.0,False,400
False,0,False,False,0.19663322663033875,0.0022180120798764484,0.0,False,400
False,0,False,False,0.25566046930810393,0.006541567939119202,0.0,False,400
False,0,False,False,0.16322534186823554,0.011333326722238312,0.0,False,400
False,0,False,False,0.051897403269321095,0.019940920795303286,0.0,False,400
False,0,False,False,0.22894908596250307,0.0010376153173789213,0.0,False,400
False,0,False,False,0.14600688370916792,0.00795474688803199,0.0,False,400
False,0,False,False,0.24414969705193562,0.013672713914164655,0.0,False,400
False,0,False,False,0.06923307776403402,0.008078518495150315,0.0,False,400
False,0,False,False,0.26179550576969307,0.0033309759706782703,0.0,False,400
False,0,False,False,0.1790245047082297,0.004020743720608649,0.0,False,400
False,0,False,False,0.1347991463353084,0.005991513615619136,0.0,False,400
False,0,False,False,0.4487132010928419,0.004840473961870484,0.0,False,400
False,0,False,False,0.06236447352862401,0.005804758300657761,0.0,False,400
